Order_ID,Customer_ID,Delivery_Date,Scheduled_Delivery,Distance_km,Delivery_Status,Region,Courier_Name,Fuel_Cost,Time_Taken_hr,Delivery_Delay_hr,Cost_per_km
ORD10000,CUST2000,2025-06-07,2025-06-07 00:00:00,103.77,On Time,North,CourierC,114.09,2.22,0.0,1.0994507082971958
ORD10001,CUST2001,2025-06-20,2025-06-19 20:00:00,341.71,On Time,West,CourierD,479.22,5.84,4.0,1.4024172543970035
ORD10002,CUST2002,2025-06-29,2025-06-29 00:00:00,40.74,On Time,East,CourierB,35.98,0.54,0.0,0.8831615120274913
ORD10003,CUST2003,2025-06-15,2025-06-15 00:00:00,20.17,On Time,East,CourierA,14.45,0.67,0.0,0.7164105106593951
ORD10004,CUST2004,2025-06-11,2025-06-10 22:00:00,132.55,On Time,East,CourierB,124.94,1.88,2.0,0.9425877027536778
ORD10005,CUST2005,2025-06-08,2025-06-07 20:00:00,234.0,On Time,North,CourierB,128.32,3.02,4.0,0.5483760683760683
ORD10006,CUST2006,2025-06-29,2025-06-28 20:00:00,434.79,On Time,West,CourierA,574.13,12.58,4.0,1.3204765518986177
ORD10007,CUST2007,2025-06-21,2025-06-20 21:00:00,364.95,On Time,South,CourierC,484.05,9.59,3.0,1.3263460748047677
ORD10008,CUST2008,2025-06-07,2025-06-07 00:00:00,372.64,Delayed,West,CourierA,405.43,4.78,0.0,1.0879937741519967
ORD10009,CUST2009,2025-06-26,2025-06-26 00:00:00,215.62,On Time,South,CourierB,183.95,3.79,0.0,0.8531212317966793
ORD10010,CUST2010,2025-06-19,2025-06-18 23:00:00,176.24,On Time,North,CourierB,229.07,5.74,1.0,1.2997616886064456
ORD10011,CUST2011,2025-06-23,2025-06-22 21:00:00,188.66,On Time,North,CourierC,198.98,4.4,3.0,1.0547015795611152
ORD10012,CUST2012,2025-06-11,2025-06-10 23:00:00,493.89,On Time,South,CourierA,654.86,9.41,1.0,1.3259227763267125
ORD10013,CUST2013,2025-06-11,2025-06-10 23:00:00,24.85,On Time,South,CourierB,28.12,0.38,1.0,1.13158953722334
